,Trial,Entry,Replication,DaysAfterTransplanting,Stage,"Cry1Ac,ppmDW"
12,1,M4,1,13,Vegetative,7.541
13,1,M4,2,13,Vegetative,16.605
14,1,M4,3,13,Vegetative,6.283
15,1,M4,4,13,Vegetative,11.888
32,1,M4,1,27,Reproductive,23.613
33,1,M4,2,27,Reproductive,17.849
34,1,M4,3,27,Reproductive,11.889
35,1,M4,4,27,Reproductive,19.946
52,1,M4,1,76,LateReproductive,21.929
53,1,M4,2,76,LateReproductive,17.924
54,1,M4,3,76,LateReproductive,19.237
55,1,M4,4,76,LateReproductive,18.37
72,2,M4,1,25,Vegetative,18.149
73,2,M4,2,25,Vegetative,19.185
74,2,M4,3,25,Vegetative,19.313
75,2,M4,4,25,Vegetative,20.224
92,2,M4,1,46,Reproductive,21.062
93,2,M4,2,46,Reproductive,18.962
94,2,M4,3,46,Reproductive,24.127
95,2,M4,4,46,Reproductive,20.094
112,2,M4,1,81,LateReproductive,19.772
113,2,M4,2,81,LateReproductive,22.626
114,2,M4,3,81,LateReproductive,24.019
115,2,M4,4,81,LateReproductive,24.149
